Day,Muscle Mass,Anabolic Hormone,Catabolic Hormone
0,5.52,50.00,52.00
1,5.51,50.00,52.00
2,5.51,50.00,52.00
3,5.51,50.00,52.00
4,5.50,50.00,52.00
5,5.51,80.12,74.41
6,5.52,74.57,68.32
7,5.53,69.12,62.38
8,5.54,63.81,56.63
9,5.55,58.62,52.23
10,5.56,89.11,75.06
11,5.58,83.40,68.97
12,5.60,77.79,63.05
13,5.61,72.30,57.33
14,5.63,66.93,52.86
15,5.65,96.90,75.37
16,5.67,91.07,69.28
17,5.68,85.33,63.35
18,5.70,79.71,57.58
19,5.72,74.20,52.90
20,5.74,103.14,74.68
21,5.76,97.22,68.62
22,5.77,91.39,62.72
23,5.79,85.68,56.98
24,5.81,80.07,52.68
25,5.83,110.60,75.79
26,5.85,104.58,69.73
27,5.86,98.66,63.81
28,5.88,92.83,58.05
29,5.90,87.11,53.27
30,5.92,118.47,77.11
31,5.94,112.36,71.03
32,5.95,106.34,65.09
33,5.97,100.41,59.30
34,5.99,94.58,53.91
35,6.01,125.11,77.16
36,6.03,118.92,71.10
37,6.04,112.83,65.18
38,6.06,106.82,59.44
39,6.08,100.90,54.25
40,6.10,131.83,77.87
41,6.12,125.58,71.81
42,6.14,119.41,65.89
43,6.15,113.33,60.14
44,6.17,107.33,54.95
45,6.19,137.53,78.03
46,6.21,131.22,71.98
47,6.23,125.00,66.06
48,6.24,118.86,60.34
49,6.26,112.80,55.08
50,6.28,144.65,79.52
51,6.30,138.28,73.44
52,6.32,131.98,67.50
53,6.34,125.77,61.71
54,6.35,119.64,56.26
55,6.37,151.03,80.37
56,6.39,144.61,74.29
57,6.41,138.26,68.34
58,6.43,131.98,62.54
59,6.44,125.79,56.92
60,6.46,158.65,82.23
61,6.48,152.16,76.13
62,6.50,145.74,70.15
63,6.52,139.40,64.33
64,6.54,133.13,58.67
65,6.56,166.45,84.37
66,6.57,159.90,78.24
67,6.59,153.42,72.24
68,6.61,147.01,66.39
69,6.63,140.67,60.73
70,6.65,174.91,87.19
71,6.67,168.29,81.01
72,6.69,161.74,74.96
73,6.71,155.26,69.04
74,6.72,148.85,63.27
75,6.74,182.03,89.07
76,6.76,175.37,82.87
77,6.78,168.76,76.79
78,6.80,162.23,70.85
79,6.82,155.76,65.04
80,6.84,188.94,91.74
81,6.86,182.22,85.50
82,6.88,175.57,79.38
83,6.89,168.99,73.39
84,6.91,162.47,67.54
85,6.93,192.81,93.05
86,6.95,186.08,86.80
87,6.97,179.41,80.67
88,6.99,172.80,74.67
89,7.01,166.26,68.80
90,7.03,196.38,94.96
91,7.05,189.63,88.69
92,7.07,182.94,82.53
93,7.08,176.32,76.50
94,7.10,169.76,70.60
95,7.12,198.57,97.45
96,7.14,191.82,91.15
97,7.16,185.13,84.96
98,7.18,178.50,78.89
99,7.20,171.94,72.95
100,7.22,199.40,100.11
101,7.24,192.66,93.77
102,7.26,185.98,87.54
103,7.28,179.36,81.43
104,7.30,172.80,75.45
105,7.32,199.46,103.63
106,7.34,192.74,97.24
107,7.36,186.07,90.97
108,7.37,179.47,84.81
109,7.39,172.92,78.77
110,7.41,199.50,106.94
111,7.43,192.79,100.51
112,7.45,186.14,94.19
113,7.47,179.54,87.98
114,7.49,173.02,81.89
115,7.51,199.61,109.55
116,7.53,192.92,103.09
117,7.55,186.28,96.74
118,7.57,179.70,90.50
119,7.59,173.19,84.37
120,7.61,199.69,112.63
121,7.63,193.00,106.14
122,7.65,186.38,99.75
123,7.67,179.82,93.46
124,7.69,173.32,87.29
125,7.71,199.53,115.41
126,7.73,192.87,108.89
127,7.75,186.26,102.46
128,7.77,179.72,96.14
129,7.79,173.23,89.94
130,7.81,199.75,119.72
131,7.83,193.09,113.14
132,7.85,186.50,106.67
133,7.87,179.97,100.29
134,7.89,173.50,94.03
135,7.91,199.13,120.11
136,7.93,192.50,113.54
137,7.95,185.93,107.07
138,7.97,179.41,100.70
139,7.99,172.96,94.44
140,8.02,199.35,122.27
141,8.04,192.73,115.68
142,8.06,186.17,109.19
143,8.08,179.66,102.80
144,8.10,173.22,96.52
145,8.12,199.86,127.19
146,8.14,193.25,120.55
147,8.16,186.70,114.00
148,8.18,180.20,107.54
149,8.20,173.77,101.19
150,8.22,199.65,130.61
151,8.24,193.05,123.93
152,8.26,186.52,117.35
153,8.28,180.04,110.85
154,8.30,173.62,104.46
155,8.32,199.51,134.20
156,8.34,192.94,127.48
157,8.37,186.42,120.86
158,8.39,179.95,114.33
159,8.41,173.55,107.90
160,8.43,199.56,136.74
161,8.45,192.99,130.00
162,8.47,186.48,123.36
163,8.49,180.04,116.80
164,8.51,173.65,110.34
165,8.53,199.49,139.68
166,8.55,192.94,132.92
167,8.57,186.45,126.25
168,8.60,180.01,119.67
169,8.62,173.64,113.18
170,8.64,199.63,143.25
171,8.66,193.10,136.46
172,8.68,186.62,129.76
173,8.70,180.19,123.14
174,8.72,173.83,116.61
175,8.74,199.79,146.87
176,8.76,193.27,140.04
177,8.78,186.80,133.30
178,8.81,180.39,126.65
179,8.83,174.04,120.08
180,8.85,199.40,149.64
181,8.87,192.89,142.80
182,8.89,186.44,136.03
183,8.91,180.05,129.35
184,8.93,173.72,122.76
185,8.95,199.75,153.15
186,8.97,193.25,146.27
187,8.99,186.81,139.48
188,9.02,180.42,132.76
189,9.04,174.10,126.14
190,9.06,199.77,156.27
191,9.08,193.29,149.37
192,9.10,186.86,142.55
193,9.12,180.49,135.81
194,9.14,174.18,129.16
195,9.16,199.68,159.34
196,9.18,193.20,152.42
197,9.20,186.79,145.57
198,9.22,180.43,138.81
199,9.24,174.13,132.12
200,9.26,199.67,163.11
201,9.27,193.21,156.15
202,9.29,186.80,149.28
203,9.31,180.46,142.48
204,9.33,174.17,135.76
205,9.35,199.86,167.75
206,9.36,193.41,160.76
207,9.38,187.01,153.84
208,9.40,180.68,147.00
209,9.42,174.40,140.24
210,9.43,199.79,171.80
211,9.44,193.35,164.78
212,9.46,186.96,157.82
213,9.47,180.64,150.94
214,9.49,174.37,144.14
215,9.50,199.87,175.19
216,9.51,193.43,168.13
217,9.53,187.06,161.15
218,9.54,180.74,154.24
219,9.56,174.48,147.41
220,9.57,199.77,177.89
221,9.58,193.34,170.81
222,9.59,186.98,163.81
223,9.60,180.66,156.88
224,9.61,174.41,150.02
225,9.62,199.58,180.59
226,9.63,193.16,173.50
227,9.64,186.80,166.47
228,9.65,180.50,159.52
229,9.66,174.25,152.64
230,9.67,199.92,184.72
231,9.68,193.51,177.59
232,9.69,187.15,170.53
233,9.70,180.85,163.54
234,9.70,174.60,156.62
235,9.71,199.88,188.76
236,9.72,193.47,181.60
237,9.72,187.12,174.50
238,9.73,180.82,167.47
239,9.74,174.58,160.52
240,9.74,199.67,192.44
241,9.74,193.26,185.25
242,9.75,186.92,178.12
243,9.75,180.62,171.06
244,9.76,174.39,164.07
245,9.76,199.81,195.31
246,9.76,193.41,188.09
247,9.76,187.06,180.94
248,9.77,180.77,173.85
249,9.77,174.53,166.84
250,9.77,199.80,199.15
251,9.77,193.40,191.90
252,9.77,187.05,184.71
253,9.77,180.76,177.59
254,9.78,174.52,170.54
255,9.78,199.62,202.35
256,9.77,193.22,195.07
257,9.77,186.88,187.86
258,9.77,180.59,180.71
259,9.77,174.36,173.63
260,9.77,199.41,202.97
261,9.77,193.01,195.69
262,9.77,186.67,188.47
263,9.77,180.38,181.32
264,9.77,174.15,174.23
265,9.77,199.72,204.81
266,9.77,193.32,197.51
267,9.76,186.98,190.27
268,9.76,180.69,183.10
269,9.76,174.45,176.00
270,9.76,199.86,208.89
271,9.76,193.46,201.56
272,9.75,187.11,194.28
273,9.75,180.82,187.08
274,9.75,174.58,179.93
275,9.74,199.87,213.28
276,9.74,193.47,205.91
277,9.73,187.12,198.60
278,9.73,180.82,191.35
279,9.72,174.58,184.17
280,9.71,199.67,215.64
281,9.71,193.27,208.25
282,9.70,186.92,200.91
283,9.70,180.62,193.64
284,9.69,174.38,186.44
285,9.68,199.70,217.38
286,9.68,193.29,209.97
287,9.67,186.94,202.62
288,9.66,180.64,195.33
289,9.66,174.39,188.11
290,9.65,199.66,220.11
291,9.64,193.25,212.68
292,9.63,186.89,205.30
293,9.62,180.58,197.99
294,9.61,174.33,190.73
295,9.61,199.72,221.83
296,9.60,193.30,214.38
297,9.59,186.93,206.98
298,9.58,180.62,199.65
299,9.57,174.37,192.38
300,9.56,199.74,222.65
301,9.55,193.32,215.19
302,9.54,186.94,207.79
303,9.53,180.63,200.44
304,9.52,174.37,193.16
305,9.51,199.86,224.18
306,9.51,193.43,216.70
307,9.50,187.05,209.28
308,9.49,180.73,201.92
309,9.48,174.46,194.62
310,9.47,199.71,225.28
311,9.46,193.27,217.79
312,9.45,186.89,210.36
313,9.44,180.56,202.99
314,9.43,174.29,195.67
315,9.41,199.82,227.34
316,9.40,193.38,219.83
317,9.39,186.99,212.37
318,9.38,180.66,204.98
319,9.37,174.38,197.64
320,9.36,199.82,229.34
321,9.35,193.37,221.81
322,9.33,186.97,214.33
323,9.32,180.63,206.92
324,9.31,174.35,199.56
325,9.30,199.73,230.44
326,9.29,193.28,222.89
327,9.27,186.88,215.41
328,9.26,180.53,207.97
329,9.25,174.24,200.60
330,9.24,199.82,230.19
331,9.22,193.36,222.64
332,9.21,186.95,215.15
333,9.20,180.59,207.71
334,9.19,174.29,200.34
335,9.18,199.68,230.22
336,9.16,193.21,222.67
337,9.15,186.80,215.17
338,9.14,180.43,207.73
339,9.13,174.13,200.35
340,9.12,199.67,229.89
341,9.10,193.19,222.33
342,9.09,186.77,214.83
343,9.08,180.40,207.38
344,9.07,174.09,200.00
345,9.05,199.63,230.19
346,9.04,193.15,222.63
347,9.03,186.72,215.12
348,9.02,180.34,207.67
349,9.01,174.02,200.27
350,8.99,199.81,230.94
351,8.98,193.32,223.36
352,8.97,186.88,215.84
353,8.96,180.50,208.37
354,8.94,174.17,200.97
355,8.93,199.63,230.66
356,8.92,193.13,223.08
357,8.91,186.69,215.55
