Day,Muscle Mass,Anabolic Hormone,Catabolic Hormone
0,5.82,50.00,52.00
1,5.82,50.00,52.00
2,5.81,50.00,52.00
3,5.82,81.47,75.48
4,5.83,75.95,69.42
5,5.84,70.55,63.52
6,5.85,100.38,85.75
7,5.86,94.53,79.48
8,5.88,88.78,73.34
9,5.90,119.29,96.15
10,5.92,113.16,89.69
11,5.94,107.13,83.36
12,5.96,138.06,106.52
13,5.98,131.70,99.89
14,6.00,125.43,93.38
15,6.02,157.34,117.33
16,6.04,150.78,110.55
17,6.06,144.30,103.88
18,6.08,174.73,126.68
19,6.10,168.01,119.77
20,6.12,161.36,112.97
21,6.14,190.69,136.31
22,6.16,183.83,129.30
23,6.18,177.05,122.37
24,6.21,197.34,145.24
25,6.23,190.44,138.13
26,6.25,183.61,131.10
27,6.27,199.63,155.63
28,6.29,192.72,148.40
29,6.31,185.88,141.26
30,6.32,199.85,164.45
31,6.34,192.96,157.14
32,6.36,186.12,149.90
33,6.37,199.87,173.11
34,6.38,192.98,165.71
35,6.40,186.15,158.40
36,6.41,199.93,182.62
37,6.41,193.05,175.14
38,6.42,186.23,167.73
39,6.43,199.91,190.88
40,6.43,193.03,183.32
41,6.44,186.21,175.84
42,6.44,199.92,197.94
43,6.44,193.05,190.32
44,6.44,186.23,182.77
45,6.44,199.94,206.62
46,6.44,193.06,198.93
47,6.43,186.24,191.31
48,6.43,199.89,215.02
49,6.42,193.01,207.26
50,6.42,186.19,199.56
51,6.41,199.98,223.43
52,6.40,193.09,215.60
53,6.39,186.27,207.83
54,6.38,199.94,229.75
55,6.36,193.06,221.86
56,6.35,186.23,214.04
57,6.34,199.94,236.67
58,6.32,193.04,228.73
59,6.31,186.21,220.85
60,6.29,199.93,242.20
61,6.27,193.03,234.21
62,6.26,186.18,226.28
63,6.24,199.98,245.70
64,6.22,193.07,237.68
65,6.20,186.22,229.71
66,6.19,199.87,247.78
67,6.17,192.95,239.74
68,6.15,186.08,231.75
69,6.13,199.88,248.90
70,6.11,192.95,240.84
71,6.09,186.07,232.84
72,6.07,199.94,249.36
73,6.05,193.00,241.29
74,6.03,186.11,233.27
75,6.01,199.86,249.09
76,5.99,192.90,241.01
77,5.97,186.00,232.98
78,5.95,199.95,249.49
79,5.93,192.99,241.40
80,5.91,186.07,233.36
81,5.90,199.97,249.52
82,5.88,192.99,241.42
83,5.86,186.07,233.38
84,5.84,199.94,249.52
85,5.82,192.95,241.41
86,5.80,186.02,233.35
87,5.78,199.83,249.46
88,5.76,192.83,241.34
89,5.74,185.88,233.27
90,5.72,199.83,249.22
91,5.70,192.82,241.09
92,5.68,185.86,233.02
93,5.66,199.66,248.47
94,5.64,192.63,240.33
95,5.62,185.67,232.26
96,5.60,199.78,248.33
97,5.59,192.74,240.19
98,5.57,185.75,232.11
99,5.55,199.77,248.32
100,5.53,192.72,240.17
101,5.51,185.72,232.08
102,5.49,199.89,248.87
103,5.47,192.82,240.70
104,5.45,185.81,232.59
105,5.43,199.85,248.91
106,5.41,192.77,240.73
107,5.39,185.75,232.61
108,5.37,199.75,248.63
109,5.36,192.66,240.44
110,5.34,185.62,232.31
111,5.32,199.85,248.56
112,5.30,192.75,240.37
113,5.28,185.70,232.23
114,5.26,199.75,248.11
115,5.24,192.64,239.91
116,5.22,185.58,231.76
117,5.20,199.95,248.94
118,5.18,192.82,240.72
119,5.16,185.74,232.56
120,5.14,199.87,248.45
121,5.13,192.73,240.23
122,5.11,185.64,232.05
123,5.09,199.87,248.13
124,5.07,192.71,239.89
125,5.05,185.61,231.71
126,5.03,199.89,248.26
127,5.01,192.72,240.01
128,4.99,185.60,231.82
129,4.97,199.79,248.10
130,4.95,192.61,239.85
131,4.93,185.48,231.64
132,4.92,199.70,247.46
133,4.90,192.50,239.20
134,4.88,185.36,230.99
135,4.86,199.78,247.40
136,4.84,192.56,239.12
137,4.82,185.40,230.90
138,4.80,199.88,247.18
139,4.78,192.65,238.90
140,4.77,185.48,230.67
141,4.75,199.69,246.24
142,4.73,192.45,237.95
143,4.71,185.26,229.71
144,4.69,199.83,246.26
145,4.67,192.57,237.96
146,4.65,185.37,229.71
147,4.64,199.56,245.56
148,4.62,192.29,237.25
149,4.60,185.08,228.99
150,4.58,199.19,243.61
151,4.57,191.91,235.30
152,4.55,184.68,227.05
153,4.53,199.73,243.55
154,4.51,192.43,235.23
155,4.49,185.18,226.96
156,4.48,199.61,242.68
157,4.46,192.29,234.35
158,4.44,185.03,226.08
159,4.43,199.61,242.09
160,4.41,192.28,233.76
161,4.39,185.01,225.48
162,4.38,199.45,240.33
163,4.36,192.10,232.00
164,4.34,184.82,223.72
165,4.33,199.49,239.56
166,4.31,192.13,231.22
167,4.30,184.83,222.94
168,4.28,199.31,238.27
169,4.26,191.94,229.93
170,4.25,184.63,221.64
171,4.23,199.31,236.56
172,4.22,191.93,228.22
173,4.20,184.60,219.94
