Day,Muscle Mass,Anabolic Hormone,Catabolic Hormone
0,5.62,50.00,52.00
1,5.62,50.00,52.00
2,5.62,50.00,52.00
3,5.61,50.00,52.00
4,5.61,50.00,52.00
5,5.62,80.57,74.66
6,5.62,74.57,68.12
7,5.63,68.71,61.74
8,5.64,62.98,55.61
9,5.65,57.41,52.11
10,5.67,86.41,73.63
11,5.68,80.30,67.12
12,5.70,74.32,60.79
13,5.71,68.47,54.80
14,5.73,62.77,52.02
15,5.75,93.02,74.62
16,5.77,86.79,68.09
17,5.78,80.69,61.75
18,5.80,74.72,55.67
19,5.82,68.89,52.02
20,5.84,100.13,75.49
21,5.86,93.79,68.96
22,5.87,87.58,62.60
23,5.89,81.48,56.49
24,5.91,75.51,52.05
25,5.93,104.53,73.85
26,5.94,98.14,67.37
27,5.96,91.86,61.07
28,5.98,85.70,55.02
29,6.00,79.67,52.00
30,6.02,110.81,75.54
31,6.03,104.34,69.04
32,6.05,97.97,62.72
33,6.07,91.72,56.60
34,6.09,85.58,52.19
35,6.11,116.49,75.60
36,6.12,109.95,69.12
37,6.14,103.51,62.79
38,6.16,97.18,56.66
39,6.18,90.96,52.34
40,6.20,122.32,76.17
41,6.21,115.71,69.68
42,6.23,109.19,63.36
43,6.25,102.78,57.23
44,6.27,96.48,52.35
45,6.29,128.10,76.44
46,6.30,121.43,69.97
47,6.32,114.85,63.66
48,6.34,108.37,57.57
49,6.36,101.99,52.52
50,6.38,134.53,77.39
51,6.39,127.78,70.90
52,6.41,121.13,64.57
53,6.43,114.57,58.41
54,6.45,108.12,53.04
55,6.47,140.27,77.65
56,6.48,133.47,71.17
57,6.50,126.75,64.85
58,6.52,120.13,58.73
59,6.54,113.61,53.46
60,6.56,145.57,77.97
61,6.58,138.72,71.49
62,6.59,131.96,65.17
63,6.61,125.29,59.03
64,6.63,118.71,53.46
65,6.65,152.13,79.16
66,6.67,145.22,72.67
67,6.68,138.39,66.34
68,6.70,131.65,60.17
69,6.72,125.00,54.33
70,6.74,158.16,79.87
71,6.76,151.20,73.38
72,6.78,144.32,67.04
73,6.79,137.52,60.86
74,6.81,130.81,54.99
